開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス
130231,130232,00分01秒,,0026,K232MCO697,JTY0324-BK9611S,0855-7O-8184,doacd@fbk.co.jp
130231,130232,00分02秒,,0027,MK98MCO731,EPK1886-YW9703S,082-382-9381,duxzcfphig@orikacapital.co.jp
130231,130232,00分02秒,,0028,AK23MCO047,SGN0243-WE0304S,0134-49-9929,lulql@daisan-g.co.jp
130231,130233,00分02秒,,0029,NK53MCO768,LXV1733-BN9403D,0875-30-9499,gnezctcjkm@victokai.co.jp
130231,130233,00分02秒,,0030,SY76MOR863,KOZ0630-WE0211S,0969-90-4061,yprgi@shiomihd.com
130231,133513,32分43秒,,0031,HM36MCO399,OC80245-BK0402L,0265-45-8798,idckhncaai@takashimaya.co.jp
130231,133514,32分43秒,,0032,KY40FCO771,ZGP1891-EL9607S,0884-62-7071,dpqpd@cno.co.jp
130231,133514,32分43秒,,0033,MK28FCO389,BLU1846-GN9010S,0268-65-5595,xtpkqqhnog@otakaki.co.jp
130231,133514,32分44秒,,0034,KK47KCO410,ZBY1590-WE0001L,055-421-3577,qggjy@ncg-map.co.jp
130231,133515,32分44秒,,0035,SK30MGO014,HYK0495-BN9809S,0187-76-7519,gtsebdenyg@jda.go.jp
130231,133515,32分44秒,,0036,WT27FOR389,WFJ1290-IY9010L,0269-88-1120,bcocs@jdc.jp
130231,133515,32分45秒,,0037,1H20FCO791,ANJ0772-BN9703D,089-377-3933,tjcjrcyjow@kaigen.co.jp
130231,133516,32分45秒,,0038,AT80FCO889,NTO1759-RD01120,079-530-8173,sqeaf@daiseki-.co.ao.jp
130231,133516,32分45秒,,0039,MY65MOR693,IHW0216-PK9909S,0853-32-9252,raucheaybd@hunet.com
130231,133516,32分46秒,,0040,OY53MCO021,BSZ1481-GN9606L,0191-26-8779,kakjt@yokohama-chikagai.co.jp
