開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,フリガナ,氏名,郵便番号,住所,電話番号,メールアドレス,問１,問２,問３
13:33:46,13:34:53,01分06秒,,0001,イシザカ　ゼンイチ,石坂　善一,329-2924,栃木県那須塩原市中塩原2-11-1,0287-18-7919,fyrgawcjaw@aa-material.co.jp,3,3,1
13:33:46,13:35:50,02分04秒,,0002,ウエスギ　マリ,上杉　真理,426-0019,静岡県藤枝市天王町3-5-12,054-182-1418,dsyzt@st-c.co.jp,2,2,2
13:33:46,13:36:48,03分02秒,,0003,ユウキ　マサフミ,結城　正文,886-0005,宮崎県小林市南西方3-30-2,0984-16-0258,nrcdxtiinp@saint-care.com,3,1,2
13:33:46,13:37:37,03分50秒,,0004,アオノ　ヤエコ,青野　八重子,454-0861,愛知県名古屋市中川区荒子町3-1-2,052-929-3704,yfavy@psmic.co.jp,5,2,2
13:33:46,13:38:29,04分42秒,,0005,カワニシ　ナオト,川西　直人,696-0312,島根県邑智郡邑南町出羽1-7-25,0855-51-9909,anfvdmnlfs@eiken.co.jp,,2,1
13:33:46,13:39:19,05分33秒,,0006,コヌマ　サダイチ,小沼　貞一,859-4507,長崎県松浦市志佐町庄野免4-7-2,0956-57-3985,qfqfr@jftc.go.jp,5,2,1
13:33:46,13:40:15,06分28秒,,0007,シラトリ　ユミ,白鳥　由美,889-1802,宮崎県北諸県郡山之口町花木4-6-16,0986-69-6030,fghypkaqhi@sts-japan.com,6,3,1
13:33:46,13:41:12,07分26秒,,0008,セオ　サダコ,瀬尾　貞子,228-0824,神奈川県相模原市相武台5-7-9,046-812-2759,rgzrf@daishin-chemical.co.jp,2,2,2
13:33:46,13:42:06,08分20秒,,0009,アカサカ　ヤスオ,赤坂　靖夫,299-0117,千葉県市原市青葉台1-17-1,0436-74-5707,yepgtkleso@drum.co.jp,1,2,2
13:33:46,13:42:52,09分06秒,,0010,イタバシ　ハルオ,板橋　治男,722-1417,広島県三原市久井町小林3-2-5,0847-50-9975,apwfn@hyoki.co.jp,5,3,2
13:33:46,13:43:47,10分00秒,,0011,コダマ　ハジメ,小玉　甫,028-4121,岩手県岩手郡玉山村永井1-1-3,019-381-9727,aaonqsudzm@abc-mart.co.jp,2,3,1
13:33:46,13:44:48,11分01秒,,0012,シュドウ　トクタロウ,首藤　徳太郎,643-0003,和歌山県有田郡湯浅町別所4-15-8,0737-10-5653,waguc@celartem.com,6,2,2
13:33:46,13:45:37,11分51秒,,0013,キヨタ　サチコ,清田　紗智子,300-1205,茨城県牛久市東大和田町6-8,029-405-7605,ivorrekitn@bandai-net.com,1,3,2
13:33:46,13:46:21,12分35秒,,0014,ゴウダ　ミキ,合田　未来,514-1124,三重県久居市須ケ瀬町1-13-2,059-384-9744,dslun@adk.co.jp,1,2,1
13:33:46,13:47:26,13分40秒,,0015,タマキ　マサノリ,玉置　正則,784-0003,高知県安芸市久世町2-10-11,0887-37-5641,ilhmanuxoe@penta-ocean.co.jp,2,3,2
13:33:46,13:48:11,14分24秒,,0016,タンノ　エツコ,丹野　悦子,857-0338,長崎県北松浦郡佐々町角山免4-1,0956-63-9731,jvgsj@sumitomoseika.co.jp,5,1,2
