開始時刻,終了時刻,経過時間,評価除外フラグ,NO.,顧客コード,商品コード,電話番号,メールアドレス
145839,145840,00分01秒,,0016,TE62MCO857,XZF1034-PK9909L,0956-66-4079,syxyh@k-higashimaru.co.jp
145839,145840,00分02秒,,0017,OT84FOR108,BEI0727-GN0706D,042-399-9457,naiaacbpcg@tokyo.jp
145839,145840,00分02秒,,0018,OA25FCO220,YWM0105-IY9002D,042-116-6897,yacyp@enshu-truck.co.jp
145839,145840,00分02秒,,0019,UT73FCO725,MNK1443-VE9110D,0846-82-2902,rpjdndgvoe@edosawa.co.jp
145839,145841,00分02秒,,0020,SH60FCO802,AEV1288-IY9702D,093-883-1997,obejb@odakyu-group.co.jp
145839,145841,00分02秒,,0021,TM88MCO309,MUW0351-EL3911S,0296-55-9392,wpvivuqxqm@otsuka-shokai.co.jp
145839,145841,00分03秒,,0022,KR18MAC456,TNM1125-BN9211L,052-245-7111,ysmvy@aichi-gakuin.ac.jp
145839,145841,00分03秒,,0023,YH22FCO850,CXU1881-YW0403S,0952-64-9528,zbdbxsyoyh@niec.co.jp
145839,145841,00分03秒,,0024,IS38AFC570,ZIH0480-VE0501D,06-4125-5584,myeqt@osaka-wu.ac.jp
145839,145842,00分03秒,,0025,SN21MGO856,TFN1616-EL4901D,0957-83-3963,cogxadnzmv@dfaa.go.jp
